settimana,regione,richieste_clienti
2025-09-22,Campania,242
2025-09-22,Emilia-Romagna,197
2025-09-22,Friuli-Venezia Giulia,59
2025-09-22,Lazio,268
2025-09-22,Liguria,80
2025-09-22,Lombardia,430
2025-09-22,Marche,70
2025-09-22,Molise,1
2025-09-22,Piemonte,191
2025-09-22,Puglia,161
2025-09-22,Sardegna,47
2025-09-22,Sicilia,192
2025-09-22,Toscana,151
2025-09-22,Trentino-Alto Adige,51
2025-09-22,Umbria,36
2025-09-22,Valle d'Aosta,4
2025-09-22,Veneto,187
2025-09-29,Abruzzo,68
2025-09-29,Basilicata,44
2025-09-29,Calabria,77
2025-09-29,Campania,241
2025-09-29,Emilia-Romagna,205
2025-09-29,Friuli-Venezia Giulia,35
2025-09-29,Lazio,223
2025-09-29,Liguria,71
2025-09-29,Lombardia,480
2025-09-29,Marche,63
2025-09-29,Molise,14
2025-09-29,Piemonte,180
2025-09-29,Puglia,178
2025-09-29,Sardegna,61
2025-09-29,Sicilia,197
2025-09-29,Toscana,221
2025-09-29,Trentino-Alto Adige,48
2025-09-29,Umbria,32
2025-09-29,Valle d'Aosta,8
2025-09-29,Veneto,180
2025-10-06,Abruzzo,38
2025-10-06,Basilicata,16
2025-10-06,Calabria,105
2025-10-06,Campania,236
2025-10-06,Emilia-Romagna,202
2025-10-06,Friuli-Venezia Giulia,49
2025-10-06,Lazio,285
2025-10-06,Liguria,56
2025-10-06,Lombardia,421
2025-10-06,Marche,72
2025-10-06,Molise,9
2025-10-06,Piemonte,187
2025-10-06,Puglia,165
2025-10-06,Sardegna,70
2025-10-06,Sicilia,208
2025-10-06,Toscana,117
2025-10-06,Trentino-Alto Adige,31
2025-10-06,Umbria,27
2025-10-06,Valle d'Aosta,7
2025-10-06,Veneto,232
2025-10-13,Abruzzo,55
2025-10-13,Basilicata,12
2025-10-13,Calabria,87
2025-10-13,Campania,280
2025-10-13,Emilia-Romagna,216
2025-10-13,Friuli-Venezia Giulia,66
2025-10-13,Lazio,226
2025-10-13,Liguria,60
2025-10-13,Lombardia,529
2025-10-13,Marche,55
2025-10-13,Molise,14
2025-10-13,Piemonte,159
2025-10-13,Puglia,152
2025-10-13,Sardegna,49
2025-10-13,Sicilia,178
2025-10-13,Toscana,170
2025-10-13,Trentino-Alto Adige,54
2025-10-13,Umbria,48
2025-10-13,Valle d'Aosta,3
2025-10-13,Veneto,214
2025-10-20,Abruzzo,53
2025-10-20,Basilicata,35
2025-10-20,Calabria,99
2025-10-20,Campania,265
2025-10-20,Emilia-Romagna,202
2025-10-20,Friuli-Venezia Giulia,55
2025-10-20,Lazio,264
2025-10-20,Liguria,49
2025-10-20,Lombardia,476
2025-10-20,Marche,42
2025-10-20,Molise,12
2025-10-20,Piemonte,192
2025-10-20,Puglia,151
2025-10-20,Sardegna,65
2025-10-20,Sicilia,250
2025-10-20,Toscana,145
2025-10-20,Trentino-Alto Adige,50
2025-10-20,Umbria,44
2025-10-20,Valle d'Aosta,0
2025-10-20,Veneto,241
2025-10-27,Abruzzo,47
2025-10-27,Basilicata,16
2025-10-27,Calabria,85
2025-10-27,Campania,262
2025-10-27,Emilia-Romagna,231
2025-10-27,Friuli-Venezia Giulia,42
2025-10-27,Lazio,233
2025-10-27,Liguria,58
2025-10-27,Lombardia,508
2025-10-27,Marche,63
2025-10-27,Molise,0
2025-10-27,Piemonte,196
2025-10-27,Puglia,163
2025-10-27,Sardegna,55
2025-10-27,Sicilia,219
2025-10-27,Toscana,169
2025-10-27,Trentino-Alto Adige,49
2025-10-27,Umbria,32
2025-10-27,Valle d'Aosta,2
2025-10-27,Veneto,193
2025-11-03,Abruzzo,61
2025-11-03,Basilicata,32
2025-11-03,Calabria,87
2025-11-03,Campania,242
2025-11-03,Emilia-Romagna,199
2025-11-03,Friuli-Venezia Giulia,51
2025-11-03,Lazio,273
2025-11-03,Liguria,68
2025-11-03,Lombardia,502
2025-11-03,Marche,82
2025-11-03,Molise,12
2025-11-03,Piemonte,186
2025-11-03,Puglia,117
2025-11-03,Sardegna,80
2025-11-03,Sicilia,181
2025-11-03,Toscana,161
2025-11-03,Trentino-Alto Adige,44
2025-11-03,Umbria,9
2025-11-03,Valle d'Aosta,9
2025-11-03,Veneto,250
2025-11-10,Abruzzo,58
2025-11-10,Basilicata,13
2025-11-10,Calabria,77
2025-11-10,Campania,265
2025-11-10,Emilia-Romagna,188
2025-11-10,Friuli-Venezia Giulia,76
2025-11-10,Lazio,265
2025-11-10,Liguria,85
2025-11-10,Lombardia,444
2025-11-10,Marche,83
2025-11-10,Molise,18
2025-11-10,Piemonte,186
2025-11-10,Puglia,172
2025-11-10,Sardegna,79
2025-11-10,Sicilia,176
2025-11-10,Toscana,120
2025-11-10,Trentino-Alto Adige,29
2025-11-10,Umbria,33
2025-11-10,Valle d'Aosta,4
2025-11-10,Veneto,212
2025-11-17,Abruzzo,39
2025-11-17,Basilicata,33
2025-11-17,Calabria,90
2025-11-17,Campania,266
2025-11-17,Emilia-Romagna,197
2025-11-17,Friuli-Venezia Giulia,73
2025-11-17,Lazio,273
2025-11-17,Liguria,47
2025-11-17,Lombardia,502
2025-11-17,Marche,56
2025-11-17,Molise,2
2025-11-17,Piemonte,239
2025-11-17,Puglia,160
2025-11-17,Sardegna,51
2025-11-17,Sicilia,213
2025-11-17,Toscana,173
2025-11-17,Trentino-Alto Adige,41
2025-11-17,Umbria,20
2025-11-17,Valle d'Aosta,2
2025-11-17,Veneto,236
2025-11-24,Abruzzo,70
2025-11-24,Basilicata,47
2025-11-24,Calabria,48
2025-11-24,Campania,248
2025-11-24,Emilia-Romagna,184
2025-11-24,Friuli-Venezia Giulia,54
2025-11-24,Lazio,212
2025-11-24,Liguria,71
2025-11-24,Lombardia,455
2025-11-24,Marche,73
2025-11-24,Molise,0
2025-11-24,Piemonte,211
2025-11-24,Puglia,129
2025-11-24,Sardegna,70
2025-11-24,Sicilia,256
2025-11-24,Toscana,123
2025-11-24,Trentino-Alto Adige,43
2025-11-24,Umbria,34
2025-11-24,Valle d'Aosta,5
2025-11-24,Veneto,180
2025-12-01,Abruzzo,50
2025-12-01,Basilicata,27
2025-12-01,Calabria,82
2025-12-01,Campania,212
2025-12-01,Emilia-Romagna,156
2025-12-01,Friuli-Venezia Giulia,53
2025-12-01,Lazio,254
2025-12-01,Liguria,78
2025-12-01,Lombardia,475
2025-12-01,Marche,88
2025-12-01,Molise,10
2025-12-01,Piemonte,184
2025-12-01,Puglia,157
2025-12-01,Sardegna,52
2025-12-01,Sicilia,225
2025-12-01,Toscana,177
2025-12-01,Trentino-Alto Adige,42
2025-12-01,Umbria,48
2025-12-01,Valle d'Aosta,3
2025-12-01,Veneto,190
2025-12-08,Abruzzo,69
2025-12-08,Basilicata,26
2025-12-08,Calabria,88
2025-12-08,Campania,228
2025-12-08,Emilia-Romagna,182
2025-12-08,Friuli-Venezia Giulia,59
2025-12-08,Lazio,221
2025-12-08,Liguria,63
2025-12-08,Lombardia,485
2025-12-08,Marche,65
2025-12-08,Molise,1
2025-12-08,Piemonte,170
2025-12-08,Puglia,144
2025-12-08,Sardegna,59
2025-12-08,Sicilia,177
2025-12-08,Toscana,158
2025-12-08,Trentino-Alto Adige,30
2025-12-08,Umbria,33
2025-12-08,Valle d'Aosta,5
2025-12-08,Veneto,262
2025-12-15,Abruzzo,49
2025-12-15,Basilicata,10
2025-12-15,Calabria,45
2025-12-15,Campania,228
2025-12-15,Emilia-Romagna,205
2025-12-15,Friuli-Venezia Giulia,26
2025-12-15,Lazio,228
2025-12-15,Liguria,38
2025-12-15,Lombardia,373
2025-12-15,Marche,73
2025-12-15,Molise,10
2025-12-15,Piemonte,147
2025-12-15,Puglia,206
2025-12-15,Sardegna,85
2025-12-15,Sicilia,170
2025-12-15,Toscana,137
2025-12-15,Trentino-Alto Adige,33
2025-12-15,Umbria,35
2025-12-15,Valle d'Aosta,0
2025-12-15,Veneto,200
2025-12-22,Abruzzo,16
2025-12-22,Basilicata,27
2025-12-22,Calabria,70
2025-12-22,Campania,167
2025-12-22,Emilia-Romagna,192
2025-12-22,Friuli-Venezia Giulia,36
2025-12-22,Lazio,241
2025-12-22,Liguria,25
2025-12-22,Lombardia,324
2025-12-22,Marche,40
2025-12-22,Molise,10
2025-12-22,Piemonte,163
2025-12-22,Puglia,145
2025-12-22,Sardegna,34
2025-12-22,Sicilia,146
2025-12-22,Toscana,116
2025-12-22,Trentino-Alto Adige,17
2025-12-22,Umbria,27
2025-12-22,Valle d'Aosta,0
2025-12-22,Veneto,163
